Subset of Points	Shortest Path Predicted\shortest path predicted distance	Shortest Path Actual	actual shortest path distance	Predicted=Actual
[1, 2, 3, 8]	[0, 3, 8, 2, 1, 0]	218.69	[0, 1, 2, 8, 3, 0]	218.69	True
[1, 2, 3, 9]	[0, 3, 9, 2, 1, 0]	215.93	[0, 1, 2, 9, 3, 0]	215.93	True
[1, 2, 4, 5]	[0, 4, 2, 1, 5, 0]	163.92	[0, 5, 1, 2, 4, 0]	163.92	True
[1, 2, 4, 6]	[0, 4, 2, 6, 1, 0]	186.94	[0, 1, 6, 2, 4, 0]	186.94	True
[1, 2, 4, 7]	[0, 4, 2, 1, 7, 0]	176.6	[0, 4, 2, 1, 7, 0]	176.6	True
[1, 2, 4, 8]	[0, 4, 8, 2, 1, 0]	218.68	[0, 1, 2, 8, 4, 0]	218.68	True
[1, 2, 4, 9]	[0, 4, 9, 2, 1, 0]	213.79	[0, 1, 2, 9, 4, 0]	213.79	True
[1, 2, 5, 6]	[0, 2, 6, 1, 5, 0]	186.93	[0, 2, 6, 1, 5, 0]	186.93	True
[1, 2, 5, 7]	[0, 2, 1, 7, 5, 0]	177.96	[0, 2, 1, 7, 5, 0]	177.96	True
[1, 2, 5, 8]	[0, 8, 2, 1, 5, 0]	219.07	[0, 5, 1, 2, 8, 0]	219.07	True
[1, 2, 5, 9]	[0, 9, 2, 1, 5, 0]	211.96	[0, 5, 1, 2, 9, 0]	211.96	True
[1, 2, 6, 7]	[0, 2, 6, 1, 7, 0]	199.6	[0, 1, 2, 6, 7, 0]	198.95	False
[1, 2, 6, 8]	[0, 8, 2, 6, 1, 0]	242.08	[0, 1, 6, 2, 8, 0]	242.08	True
[1, 2, 6, 9]	[0, 9, 2, 6, 1, 0]	234.97	[0, 1, 6, 2, 9, 0]	234.97	True
[1, 2, 7, 8]	[0, 8, 2, 1, 7, 0]	231.75	[0, 8, 2, 1, 7, 0]	231.75	True
[1, 2, 7, 9]	[0, 9, 2, 1, 7, 0]	224.64	[0, 7, 1, 2, 9, 0]	224.64	True
[1, 2, 8, 9]	[0, 9, 8, 2, 1, 0]	230.35	[0, 1, 2, 8, 9, 0]	230.35	True
[1, 3, 4, 5]	[0, 4, 3, 1, 5, 0]	125.45	[0, 4, 3, 1, 5, 0]	125.45	True
[1, 3, 4, 6]	[0, 4, 3, 6, 1, 0]	169.49	[0, 1, 6, 3, 4, 0]	169.49	True
[1, 3, 4, 7]	[0, 4, 3, 1, 7, 0]	138.13	[0, 4, 3, 1, 7, 0]	138.13	True
[1, 3, 4, 8]	[0, 4, 3, 8, 1, 0]	217.62	[0, 1, 8, 3, 4, 0]	217.62	True
[1, 3, 4, 9]	[0, 4, 3, 9, 1, 0]	205.12	[0, 1, 9, 3, 4, 0]	205.12	True
[1, 3, 5, 6]	[0, 3, 6, 1, 5, 0]	170.04	[0, 5, 1, 6, 3, 0]	170.04	True
[1, 3, 5, 7]	[0, 3, 1, 7, 5, 0]	140.04	[0, 3, 1, 7, 5, 0]	140.04	True
[1, 3, 5, 8]	[0, 3, 8, 1, 5, 0]	218.17	[0, 5, 1, 8, 3, 0]	218.17	True
[1, 3, 5, 9]	[0, 3, 9, 1, 5, 0]	205.67	[0, 3, 9, 1, 5, 0]	205.67	True
[1, 3, 6, 7]	[0, 3, 6, 1, 7, 0]	182.72	[0, 3, 1, 6, 7, 0]	176.45	False
[1, 3, 6, 8]	[0, 3, 8, 6, 1, 0]	241.05	[0, 1, 6, 8, 3, 0]	241.05	True
[1, 3, 6, 9]	[0, 3, 9, 6, 1, 0]	238.45	[0, 3, 9, 6, 1, 0]	238.45	True
[1, 3, 7, 8]	[0, 3, 8, 1, 7, 0]	230.85	[0, 3, 8, 1, 7, 0]	230.85	True
[1, 3, 7, 9]	[0, 3, 9, 1, 7, 0]	218.35	[0, 3, 9, 1, 7, 0]	218.35	True
[1, 3, 8, 9]	[0, 3, 9, 8, 1, 0]	233.8	[0, 1, 8, 9, 3, 0]	233.8	True
[1, 4, 5, 6]	[0, 4, 1, 6, 5, 0]	160.28	[0, 5, 6, 1, 4, 0]	160.28	True
[1, 4, 5, 7]	[0, 4, 1, 7, 5, 0]	127.41	[0, 5, 7, 1, 4, 0]	127.41	True
[1, 4, 5, 8]	[0, 4, 8, 1, 5, 0]	218.17	[0, 4, 8, 1, 5, 0]	218.17	True
[1, 4, 5, 9]	[0, 4, 9, 1, 5, 0]	203.52	[0, 5, 1, 9, 4, 0]	203.52	True
[1, 4, 6, 7]	[0, 4, 1, 6, 7, 0]	163.82	[0, 4, 1, 6, 7, 0]	163.82	True
[1, 4, 6, 8]	[0, 4, 1, 6, 8, 0]	247.43	[0, 1, 6, 8, 4, 0]	241.05	False
[1, 4, 6, 9]	[0, 4, 1, 6, 9, 0]	240.47	[0, 1, 6, 9, 4, 0]	236.31	False
[1, 4, 7, 8]	[0, 4, 8, 1, 7, 0]	230.84	[0, 4, 8, 1, 7, 0]	230.84	True
[1, 4, 7, 9]	[0, 4, 9, 1, 7, 0]	216.2	[0, 4, 9, 1, 7, 0]	216.2	True
