Subset of Points	Shortest Path Predicted\shortest path predicted distance	Shortest Path Actual	actual shortest path distance	Predicted=Actual
[2, 3, 4, 6, 7, 8]	[0, 4, 3, 8, 2, 6, 7, 0]	245.56	[0, 4, 3, 8, 2, 6, 7, 0]	245.56	True
[2, 3, 4, 6, 7, 9]	[0, 4, 3, 9, 2, 6, 7, 0]	242.81	[0, 4, 3, 9, 2, 6, 7, 0]	242.81	True
[2, 3, 4, 6, 8, 9]	[0, 4, 3, 9, 8, 2, 6, 0]	258.19	[0, 4, 3, 9, 8, 2, 6, 0]	258.19	True
[2, 3, 4, 7, 8, 9]	[0, 4, 3, 9, 8, 2, 7, 0]	247.6	[0, 4, 3, 9, 8, 2, 7, 0]	247.6	True
[2, 3, 5, 6, 7, 8]	[0, 3, 8, 2, 6, 7, 5, 0]	247.48	[0, 5, 7, 6, 2, 8, 3, 0]	247.48	True
[2, 3, 5, 6, 7, 9]	[0, 3, 9, 2, 6, 7, 5, 0]	244.72	[0, 3, 9, 2, 6, 7, 5, 0]	244.72	True
[2, 3, 5, 6, 8, 9]	[0, 3, 9, 8, 2, 6, 5, 0]	258.21	[0, 3, 9, 8, 2, 6, 5, 0]	258.21	True
[2, 3, 5, 7, 8, 9]	[0, 3, 9, 8, 2, 7, 5, 0]	249.52	[0, 3, 9, 8, 2, 7, 5, 0]	249.52	True
[2, 3, 6, 7, 8, 9]	[0, 3, 9, 8, 2, 6, 7, 0]	261.74	[0, 3, 9, 8, 2, 6, 7, 0]	261.74	True
[2, 4, 5, 6, 7, 8]	[0, 4, 8, 2, 6, 7, 5, 0]	247.48	[0, 5, 7, 6, 2, 8, 4, 0]	247.48	True
[2, 4, 5, 6, 7, 9]	[0, 4, 9, 2, 6, 7, 5, 0]	242.58	[0, 5, 7, 6, 2, 9, 4, 0]	242.58	True
[2, 4, 5, 6, 8, 9]	[0, 4, 9, 8, 2, 6, 5, 0]	256.06	[0, 4, 9, 8, 2, 6, 5, 0]	256.06	True
[2, 4, 5, 7, 8, 9]	[0, 4, 9, 8, 2, 7, 5, 0]	247.37	[0, 4, 9, 8, 2, 7, 5, 0]	247.37	True
[2, 4, 6, 7, 8, 9]	[0, 4, 9, 8, 2, 6, 7, 0]	259.6	[0, 4, 9, 8, 2, 6, 7, 0]	259.6	True
[2, 5, 6, 7, 8, 9]	[0, 5, 7, 6, 2, 8, 9, 0]	259.14	[0, 9, 8, 2, 6, 7, 5, 0]	259.14	True
[3, 4, 5, 6, 7, 8]	[0, 4, 3, 8, 6, 7, 5, 0]	246.29	[0, 4, 3, 8, 6, 7, 5, 0]	246.29	True
[3, 4, 5, 6, 7, 9]	[0, 4, 3, 9, 6, 7, 5, 0]	243.69	[0, 4, 3, 9, 6, 7, 5, 0]	243.69	True
[3, 4, 5, 6, 8, 9]	[0, 4, 3, 9, 8, 6, 5, 0]	257.02	[0, 4, 3, 9, 8, 6, 5, 0]	257.02	True
[3, 4, 5, 7, 8, 9]	[0, 4, 3, 9, 8, 7, 5, 0]	248.9	[0, 4, 3, 9, 8, 7, 5, 0]	248.9	True
[3, 4, 6, 7, 8, 9]	[0, 4, 3, 9, 8, 6, 7, 0]	260.55	[0, 4, 3, 9, 8, 6, 7, 0]	260.55	True
[3, 5, 6, 7, 8, 9]	[0, 5, 7, 6, 8, 9, 3, 0]	262.47	[0, 3, 9, 8, 6, 7, 5, 0]	262.47	True
[4, 5, 6, 7, 8, 9]	[0, 5, 7, 6, 8, 9, 4, 0]	260.32	[0, 4, 9, 8, 6, 7, 5, 0]	260.32	True
[1, 2, 3, 4, 5, 6, 7]	[0, 4, 3, 2, 6, 1, 7, 5, 0]	203.66	[0, 5, 7, 1, 6, 2, 3, 4, 0]	203.66	True
[1, 2, 3, 4, 5, 6, 8]	[0, 4, 3, 8, 2, 6, 1, 5, 0]	242.9	[0, 4, 3, 8, 2, 6, 1, 5, 0]	242.9	True
[1, 2, 3, 4, 5, 6, 9]	[0, 4, 3, 9, 2, 6, 1, 5, 0]	240.15	[0, 4, 3, 9, 2, 6, 1, 5, 0]	240.15	True
[1, 2, 3, 4, 5, 7, 8]	[0, 4, 3, 8, 2, 1, 7, 5, 0]	233.94	[0, 4, 3, 8, 2, 1, 7, 5, 0]	233.94	True
[1, 2, 3, 4, 5, 7, 9]	[0, 4, 3, 9, 2, 1, 7, 5, 0]	231.18	[0, 4, 3, 9, 2, 1, 7, 5, 0]	231.18	True
[1, 2, 3, 4, 5, 8, 9]	[0, 4, 3, 9, 8, 2, 1, 5, 0]	235.52	[0, 4, 3, 9, 8, 2, 1, 5, 0]	235.52	True
[1, 2, 3, 4, 6, 7, 8]	[0, 4, 3, 8, 2, 6, 1, 7, 0]	255.58	[0, 4, 3, 8, 2, 6, 1, 7, 0]	255.58	True
[1, 2, 3, 4, 6, 7, 9]	[0, 4, 3, 9, 2, 6, 1, 7, 0]	252.82	[0, 4, 3, 9, 2, 6, 1, 7, 0]	252.82	True
[1, 2, 3, 4, 6, 8, 9]	[0, 4, 3, 9, 8, 2, 6, 1, 0]	258.53	[0, 1, 6, 2, 8, 9, 3, 4, 0]	258.53	True
[1, 2, 3, 4, 7, 8, 9]	[0, 4, 3, 9, 8, 2, 1, 7, 0]	248.2	[0, 4, 3, 9, 8, 2, 1, 7, 0]	248.2	True
[1, 2, 3, 5, 6, 7, 8]	[0, 3, 8, 2, 6, 1, 7, 5, 0]	257.49	[0, 3, 8, 2, 6, 1, 7, 5, 0]	257.49	True
[1, 2, 3, 5, 6, 7, 9]	[0, 3, 9, 2, 6, 1, 7, 5, 0]	254.74	[0, 3, 9, 2, 6, 1, 7, 5, 0]	254.74	True
[1, 2, 3, 5, 6, 8, 9]	[0, 3, 9, 8, 2, 6, 1, 5, 0]	259.08	[0, 3, 9, 8, 2, 6, 1, 5, 0]	259.08	True
[1, 2, 3, 5, 7, 8, 9]	[0, 3, 9, 8, 2, 1, 7, 5, 0]	250.11	[0, 3, 9, 8, 2, 1, 7, 5, 0]	250.11	True
[1, 2, 3, 6, 7, 8, 9]	[0, 3, 9, 8, 2, 6, 1, 7, 0]	271.76	[0, 3, 9, 8, 2, 6, 1, 7, 0]	271.76	True
[1, 2, 4, 5, 6, 7, 8]	[0, 4, 8, 2, 6, 1, 7, 5, 0]	257.49	[0, 4, 8, 2, 6, 1, 7, 5, 0]	257.49	True
[1, 2, 4, 5, 6, 7, 9]	[0, 4, 9, 2, 6, 1, 7, 5, 0]	252.59	[0, 4, 9, 2, 6, 1, 7, 5, 0]	252.59	True
[1, 2, 4, 5, 6, 8, 9]	[0, 4, 9, 8, 2, 6, 1, 5, 0]	256.94	[0, 4, 9, 8, 2, 6, 1, 5, 0]	256.94	True
[1, 2, 4, 5, 7, 8, 9]	[0, 4, 9, 8, 2, 1, 7, 5, 0]	247.97	[0, 5, 7, 1, 2, 8, 9, 4, 0]	247.97	True
[1, 2, 4, 6, 7, 8, 9]	[0, 4, 9, 8, 2, 6, 1, 7, 0]	269.61	[0, 4, 9, 8, 2, 6, 1, 7, 0]	269.61	True
[1, 2, 5, 6, 7, 8, 9]	[0, 9, 8, 2, 6, 1, 7, 5, 0]	269.15	[0, 5, 7, 1, 6, 2, 8, 9, 0]	269.15	True
[1, 3, 4, 5, 6, 7, 8]	[0, 4, 3, 8, 6, 1, 7, 5, 0]	256.3	[0, 4, 3, 8, 6, 1, 7, 5, 0]	256.3	True
[1, 3, 4, 5, 6, 7, 9]	[0, 4, 3, 9, 6, 1, 7, 5, 0]	253.7	[0, 4, 3, 9, 6, 1, 7, 5, 0]	253.7	True
[1, 3, 4, 5, 6, 8, 9]	[0, 4, 3, 9, 8, 6, 1, 5, 0]	257.89	[0, 4, 3, 9, 8, 6, 1, 5, 0]	257.89	True
[1, 3, 4, 5, 7, 8, 9]	[0, 4, 3, 9, 8, 1, 7, 5, 0]	249.05	[0, 4, 3, 9, 8, 1, 7, 5, 0]	249.05	True
[1, 3, 4, 6, 7, 8, 9]	[0, 4, 3, 9, 8, 6, 1, 7, 0]	270.57	[0, 4, 3, 9, 8, 6, 1, 7, 0]	270.57	True
[1, 3, 5, 6, 7, 8, 9]	[0, 3, 9, 8, 6, 1, 7, 5, 0]	272.48	[0, 3, 9, 8, 6, 1, 7, 5, 0]	272.48	True
[1, 4, 5, 6, 7, 8, 9]	[0, 4, 9, 8, 1, 6, 7, 5, 0]	285.23	[0, 4, 9, 8, 6, 1, 7, 5, 0]	270.34	False
[2, 3, 4, 5, 6, 7, 8]	[0, 4, 3, 8, 2, 6, 7, 5, 0]	247.52	[0, 4, 3, 8, 2, 6, 7, 5, 0]	247.52	True
[2, 3, 4, 5, 6, 7, 9]	[0, 4, 3, 9, 2, 6, 7, 5, 0]	244.76	[0, 4, 3, 9, 2, 6, 7, 5, 0]	244.76	True
[2, 3, 4, 5, 6, 8, 9]	[0, 4, 3, 9, 8, 2, 6, 5, 0]	258.24	[0, 4, 3, 9, 8, 2, 6, 5, 0]	258.24	True
[2, 3, 4, 5, 7, 8, 9]	[0, 4, 3, 9, 8, 2, 7, 5, 0]	249.55	[0, 4, 3, 9, 8, 2, 7, 5, 0]	249.55	True
[2, 3, 4, 6, 7, 8, 9]	[0, 4, 3, 9, 8, 2, 6, 7, 0]	261.78	[0, 4, 3, 9, 8, 2, 6, 7, 0]	261.78	True
[2, 3, 5, 6, 7, 8, 9]	[0, 3, 9, 8, 2, 6, 7, 5, 0]	263.69	[0, 3, 9, 8, 2, 6, 7, 5, 0]	263.69	True
[2, 4, 5, 6, 7, 8, 9]	[0, 4, 9, 8, 2, 6, 7, 5, 0]	261.55	[0, 4, 9, 8, 2, 6, 7, 5, 0]	261.55	True
[3, 4, 5, 6, 7, 8, 9]	[0, 4, 3, 9, 8, 6, 7, 5, 0]	262.51	[0, 4, 3, 9, 8, 6, 7, 5, 0]	262.51	True
[1, 2, 3, 4, 5, 6, 7, 8]	[0, 4, 3, 8, 2, 6, 1, 7, 5, 0]	257.53	[0, 4, 3, 8, 2, 6, 1, 7, 5, 0]	257.53	True
[1, 2, 3, 4, 5, 6, 7, 9]	[0, 4, 3, 9, 2, 6, 1, 7, 5, 0]	254.78	[0, 4, 3, 9, 2, 6, 1, 7, 5, 0]	254.78	True
[1, 2, 3, 4, 5, 6, 8, 9]	[0, 4, 3, 9, 8, 2, 6, 1, 5, 0]	259.12	[0, 4, 3, 9, 8, 2, 6, 1, 5, 0]	259.12	True
[1, 2, 3, 4, 5, 7, 8, 9]	[0, 4, 3, 9, 8, 2, 1, 7, 5, 0]	250.15	[0, 4, 3, 9, 8, 2, 1, 7, 5, 0]	250.15	True
[1, 2, 3, 4, 6, 7, 8, 9]	[0, 4, 3, 9, 8, 2, 6, 1, 7, 0]	271.79	[0, 4, 3, 9, 8, 2, 6, 1, 7, 0]	271.79	True
[1, 2, 3, 5, 6, 7, 8, 9]	[0, 3, 9, 8, 2, 6, 1, 7, 5, 0]	273.71	[0, 3, 9, 8, 2, 6, 1, 7, 5, 0]	273.71	True
[1, 2, 4, 5, 6, 7, 8, 9]	[0, 4, 9, 8, 2, 6, 1, 7, 5, 0]	271.56	[0, 4, 9, 8, 2, 6, 1, 7, 5, 0]	271.56	True
[1, 3, 4, 5, 6, 7, 8, 9]	[0, 4, 3, 9, 8, 6, 1, 7, 5, 0]	272.52	[0, 4, 3, 9, 8, 6, 1, 7, 5, 0]	272.52	True
[2, 3, 4, 5, 6, 7, 8, 9]	[0, 4, 3, 9, 8, 2, 6, 7, 5, 0]	263.73	[0, 4, 3, 9, 8, 2, 6, 7, 5, 0]	263.73	True
[1, 2, 3, 4, 5, 6, 7, 8, 9]	[0, 4, 3, 9, 8, 2, 6, 1, 7, 5, 0]	273.75	[0, 4, 3, 9, 8, 2, 6, 1, 7, 5, 0]	273.75	True
